# Accelerometer Data File
# Started @Wed Sep 20 13:23:02 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: MPU6500 Acceleration Sensor
# sensor Resolution: 5.985504E-4m/sec^2; Max Range: 19.6133; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.086 0.242 9.828 5
-0.09 0.226 9.856 4
-0.079 0.222 9.839 5
-0.064 0.227 9.846 5
-0.049 0.214 9.853 5
-0.058 0.235 9.848 6
-0.059 0.226 9.868 4
-0.071 0.217 9.813 5
-0.076 0.232 9.824 5
-0.061 0.232 9.861 5
-0.058 0.226 9.86 5
-0.084 0.242 9.852 5
-0.086 0.235 9.852 5
-0.068 0.235 9.822 5
-0.068 0.235 9.822 5
-0.059 0.244 9.849 5
-0.059 0.213 9.828 5
-0.073 0.234 9.841 5
-0.062 0.237 9.843 5
-0.061 0.243 9.807 5
-0.079 0.229 9.8 5
-0.073 0.223 9.828 4
-0.09 0.234 9.832 5
-0.084 0.239 9.81 5
-0.076 0.24 9.821 5
-0.062 0.25 9.831 5
-0.083 0.233 9.825 5
-0.077 0.237 9.836 5
-0.071 0.234 9.825 5
-0.045 0.253 9.819 5
-0.092 0.241 9.809 5
-0.04 0.254 9.862 5
-0.104 0.265 9.834 5
-0.05 0.23 9.858 4
-0.087 0.237 9.834 6
-0.017 0.25 9.828 5
-0.104 0.234 9.846 4
-0.023 0.216 9.858 5
-0.069 0.25 9.786 5
-0.08 0.222 9.854 5
-0.062 0.204 9.788 5
-0.066 0.243 9.896 5
-0.067 0.26 9.792 5
-0.098 0.223 9.895 5
-0.033 0.225 9.786 5
-0.106 0.212 9.903 5
-0.055 0.184 9.821 5
-0.086 0.204 9.859 5
-0.089 0.26 9.765 5
-0.116 0.229 9.882 5
-0.041 0.222 9.818 4
-0.075 0.204 9.867 5
-0.058 0.231 9.838 5
-0.07 0.242 9.853 5
-0.041 0.241 9.816 5
-0.082 0.248 9.811 5
-0.056 0.225 9.882 5
-0.051 0.23 9.8 5
-0.074 0.24 9.842 5
-0.077 0.261 9.824 5
-0.066 0.246 9.838 5
-0.062 0.251 9.797 5
-0.07 0.225 9.844 5
-0.035 0.225 9.821 5
-0.086 0.234 9.863 5
-0.077 0.235 9.836 5
-0.068 0.222 9.882 5
-0.06 0.231 9.855 5
-0.056 0.247 9.885 5
-0.038 0.235 9.83 4
-0.064 0.243 9.869 6
-0.044 0.246 9.867 4
-0.084 0.241 9.856 5
-0.079 0.224 9.858 5
-0.083 0.21 9.874 5
-0.081 0.21 9.849 5
-0.073 0.222 9.836 5
-0.066 0.236 9.88 5
-0.071 0.246 9.813 5
-0.072 0.251 9.863 5
-0.056 0.234 9.832 5
-0.077 0.247 9.84 5
-0.056 0.241 9.799 5
-0.086 0.248 9.84 5
-0.086 0.256 9.85 5
-0.073 0.243 9.867 5
-0.068 0.226 9.837 4
-0.073 0.214 9.879 5
-0.081 0.228 9.845 5
-0.074 0.244 9.834 5
-0.062 0.248 9.847 5
-0.039 0.234 9.822 5
-0.059 0.251 9.832 5
-0.083 0.24 9.869 5
-0.065 0.237 9.829 5
-0.08 0.245 9.846 5
-0.102 0.244 9.865 5
-0.08 0.22 9.844 5
-0.077 0.213 9.846 5
-0.056 0.226 9.827 5
-0.071 0.238 9.855 5
-0.038 0.236 9.861 5
-0.053 0.229 9.847 5
-0.043 0.24 9.828 5
-0.065 0.24 9.828 5
-0.067 0.238 9.831 4
-0.045 0.237 9.862 5
-0.056 0.218 9.851 5
-0.062 0.234 9.838 5
-0.073 0.237 9.818 5
-0.047 0.242 9.834 5
-0.064 0.235 9.832 5
-0.047 0.248 9.865 5
-0.067 0.234 9.829 5
-0.059 0.234 9.813 5
-0.038 0.237 9.848 5
-0.031 0.231 9.835 5
-0.056 0.237 9.832 5
-0.07 0.247 9.871 5
-0.069 0.259 9.832 4
-0.064 0.246 9.843 6
-0.082 0.237 9.82 5
-0.05 0.216 9.82 4
-0.065 0.228 9.838 5
-0.062 0.244 9.852 5
-0.066 0.253 9.863 5
-0.067 0.243 9.831 5
-0.06 0.246 9.847 5
-0.062 0.222 9.847 5
-0.03 0.24 9.847 5
-0.067 0.248 9.834 5
-0.066 0.216 9.84 5
-0.075 0.222 9.85 5
-0.08 0.236 9.834 5
-0.06 0.235 9.827 5
-0.062 0.238 9.797 5
-0.061 0.25 9.822 5
-0.057 0.246 9.867 5
-0.063 0.226 9.841 5
-0.058 0.216 9.846 5
-0.1 0.224 9.834 5
-0.093 0.22 9.861 4
-0.076 0.229 9.801 5
-0.086 0.219 9.836 5
-0.06 0.24 9.816 5
-0.078 0.254 9.825 5
-0.064 0.245 9.867 5
-0.077 0.242 9.846 5
-0.06 0.224 9.838 5
-0.076 0.225 9.846 5
-0.068 0.232 9.837 5
-0.086 0.236 9.825 5
-0.08 0.239 9.827 5
-0.061 0.215 9.829 5
-0.044 0.229 9.847 4
-0.06 0.242 9.872 5
-0.046 0.238 9.85 5
-0.064 0.238 9.831 6
-0.055 0.232 9.861 4
-0.047 0.235 9.838 6
-0.061 0.236 9.864 4
-0.055 0.222 9.837 5
-0.082 0.239 9.843 5
-0.081 0.232 9.828 5
-0.078 0.232 9.823 5
-0.085 0.232 9.834 5
-0.06 0.219 9.857 5
-0.058 0.235 9.847 5
-0.065 0.239 9.857 5
-0.057 0.244 9.83 5
-0.069 0.244 9.812 5
-0.056 0.22 9.837 5
-0.072 0.225 9.863 4
-0.046 0.232 9.882 5
-0.047 0.22 9.829 5
-0.067 0.241 9.829 5
-0.059 0.239 9.801 5
-0.046 0.24 9.829 5
-0.064 0.215 9.813 5
-0.067 0.211 9.817 5
-0.076 0.224 9.824 5
-0.075 0.219 9.835 5
-0.08 0.232 9.879 5
-0.051 0.238 9.873 5
-0.074 0.22 9.872 5
-0.062 0.227 9.843 5
-0.081 0.228 9.83 5
-0.052 0.25 9.84 5
-0.052 0.25 9.841 5
-0.04 0.238 9.839 5
-0.032 0.237 9.828 5
-0.072 0.224 9.813 5
-0.063 0.219 9.825 4
-0.066 0.22 9.809 6
-0.074 0.236 9.83 4
-0.057 0.232 9.848 5
-0.077 0.238 9.827 5
-0.087 0.206 9.824 5
-0.059 0.238 9.804 5
-0.072 0.234 9.844 5
-0.061 0.247 9.841 5
-0.068 0.253 9.84 5
-0.059 0.236 9.851 5
-0.058 0.205 9.835 5
-0.059 0.239 9.854 5
-0.069 0.238 9.859 5
-0.065 0.229 9.822 5
-0.08 0.232 9.836 5
-0.084 0.223 9.822 5
-0.089 0.213 9.831 4
-0.083 0.235 9.831 5
-0.056 0.212 9.828 5
-0.059 0.222 9.828 5
-0.048 0.219 9.845 5
-0.06 0.219 9.83 5
-0.061 0.217 9.836 5
-0.044 0.223 9.84 5
-0.067 0.235 9.834 5
-0.072 0.239 9.829 5
-0.063 0.221 9.817 5
-0.09 0.202 9.858 5
-0.08 0.204 9.849 5
-0.084 0.222 9.87 5
-0.061 0.244 9.835 5
-0.073 0.235 9.837 5
-0.079 0.244 9.832 4
-0.045 0.248 9.837 5
-0.061 0.232 9.822 5
-0.058 0.241 9.831 5
-0.062 0.24 9.832 6
-0.064 0.22 9.858 4
-0.058 0.264 9.862 5
-0.088 0.224 9.853 5
-0.079 0.231 9.829 5
-0.09 0.232 9.843 5
-0.083 0.241 9.87 5
-0.089 0.225 9.863 5
-0.06 0.216 9.849 5
-0.061 0.24 9.853 5
-0.08 0.231 9.853 5
-0.098 0.229 9.818 5
-0.059 0.218 9.838 5
-0.064 0.24 9.84 4
-0.073 0.24 9.864 5
-0.052 0.24 9.839 5
-0.068 0.238 9.85 5
-0.076 0.213 9.835 5
-0.087 0.229 9.84 5
-0.072 0.216 9.856 5
-0.086 0.254 9.846 5
-0.066 0.229 9.828 5
-0.068 0.231 9.843 5
-0.043 0.21 9.844 5
-0.067 0.216 9.853 5
-0.071 0.25 9.864 5
-0.077 0.237 9.868 5
-0.058 0.234 9.846 5
-0.058 0.234 9.832 5
-0.065 0.229 9.847 4
-0.082 0.229 9.838 5
-0.092 0.236 9.828 6
-0.076 0.233 9.831 4
-0.064 0.226 9.814 5
-0.049 0.247 9.856 5
-0.044 0.233 9.838 5
-0.043 0.232 9.837 6
-0.053 0.231 9.86 4
-0.056 0.229 9.891 5
-0.086 0.228 9.866 5
-0.077 0.202 9.891 5
-0.071 0.223 9.834 5
-0.055 0.244 9.855 5
-0.052 0.233 9.821 5
-0.049 0.238 9.849 5
-0.032 0.234 9.801 5
-0.025 0.238 9.813 5
-0.049 0.226 9.824 5
-0.076 0.259 9.838 5
-0.079 0.256 9.825 5
-0.054 0.22 9.822 4
-0.048 0.244 9.816 5
-0.092 0.217 9.832 5
-0.083 0.199 9.834 5
-0.088 0.231 9.824 5
-0.084 0.227 9.85 6
-0.074 0.247 9.816 4
-0.062 0.246 9.852 5
-0.044 0.241 9.838 5
-0.04 0.228 9.841 5
-0.034 0.217 9.84 5
-0.06 0.222 9.879 5
-0.061 0.211 9.864 5
-0.065 0.213 9.868 5
-0.062 0.25 9.871 5
-0.047 0.225 9.861 5
-0.064 0.23 9.826 5
-0.062 0.247 9.859 5
-0.084 0.233 9.84 4
-0.093 0.229 9.861 5
-0.098 0.229 9.852 5
-0.093 0.235 9.821 5
-0.103 0.226 9.811 6
-0.073 0.235 9.817 4
-0.067 0.237 9.824 5
-0.086 0.243 9.857 5
-0.099 0.219 9.85 5
-0.079 0.217 9.806 5
